Date,Team,Season,points_allowed,target,RegLog,ArbolDecision,RandomForest,XGB,LGB,MLP,NeuralNet
2023-09-10,CRD,2023,20,0,0.0079430616,0.0,0.2012855069,0.0929302871,0.0040839568,0.0097472498,0.0644337907
2023-09-17,CRD,2023,31,0,0.3726576728,0.75,0.583184911,0.5075495839,0.279062169,0.1199551526,0.2691452801
2023-09-24,CRD,2023,16,1,0.9916817576,1.0,0.966744186,0.9896709323,0.9999066494,0.9929046573,0.9519706368
2023-10-01,CRD,2023,35,0,0.0038189398,0.0,0.1828869697,0.0171790347,0.0010939679,0.0024706204,0.0643398613
2023-10-08,CRD,2023,34,0,0.0013911682,0.0,0.0056351824,0.0026232905,0.001201323,0.0007751305,0.0642852038
2023-10-15,CRD,2023,26,0,0.003321058,0.0,0.013619216,0.0029236095,0.0005247116,0.0009668472,0.0643044636
2023-10-22,CRD,2023,20,0,0.0528161776,0.0,0.2507888215,0.0259526502,0.0034783739,0.0193064556,0.0659172609
2023-10-29,CRD,2023,31,0,0.0207913593,0.0,0.2077653675,0.0431080759,0.1270402083,0.0523373621,0.0647906959
2023-11-05,CRD,2023,27,0,1.9993e-06,0.0,0.0020026568,0.0054245815,0.0001102217,0.0001869158,0.0590599179
2023-11-12,CRD,2023,23,1,0.4088704499,1.0,0.3853050467,0.6298879981,0.752577104,0.4281137961,0.1598229259
2023-11-19,CRD,2023,21,0,0.3869125069,1.0,0.5146822992,0.4749496281,0.7075739352,0.5758023568,0.3187800944
2023-11-26,CRD,2023,37,0,7.34434e-05,0.0,0.0953012911,0.0006842809,6.743e-06,0.0001185333,0.0642843768
2023-12-03,CRD,2023,10,1,0.9996083922,1.0,0.9808440927,0.9987192154,0.9999695925,0.9998095876,0.91830796
2023-12-17,CRD,2023,45,0,0.0001358295,0.0,0.0259312486,0.009851912,0.0002617593,0.0008348282,0.0642844588
2023-12-24,CRD,2023,27,0,0.0237199363,0.0,0.2815465604,0.0256341714,0.0083923912,0.0246038118,0.0647150278
2023-12-31,CRD,2023,31,1,0.8518058353,1.0,0.6955137845,0.9207237363,0.987231759,0.9420360655,0.9155301452
2023-01-07,CRD,2023,21,0,0.9526360829,0.0,0.8775045336,0.600425303,0.5118643015,0.7157318375,0.9168787599
2023-09-10,ATL,2023,10,1,0.9885616778,1.0,0.9029879329,0.9969071746,0.9998268163,0.9991605684,0.9181499481
2023-09-17,ATL,2023,24,1,0.7778799589,1.0,0.3880142555,0.3118248284,0.4722428493,0.5984240913,0.8942353129
2023-09-24,ATL,2023,20,0,0.0019650985,0.0,0.0015919564,0.0121954484,0.0026891266,0.0019699099,0.0642901286
2023-10-01,ATL,2023,23,0,0.0043037956,0.0,0.0171117795,0.003192222,7.44633e-05,0.000444532,0.064289704
2023-10-08,ATL,2023,19,1,0.9630853897,1.0,0.9662596337,0.8972778916,0.9751000941,0.9523678807,0.9516177773
2023-10-15,ATL,2023,24,0,0.162540534,0.0,0.119742193,0.0713844076,0.1964212077,0.1866752742,0.1058353037
2023-10-22,ATL,2023,13,1,0.9819799903,1.0,0.9146325216,0.9639054537,0.9692360919,0.9333684263,0.9518001676
2023-10-29,ATL,2023,28,0,0.01480195,0.0,0.0966094807,0.0218590051,0.0064417819,0.0179121163,0.0643837303
2023-11-05,ATL,2023,31,0,0.0248453274,0.0,0.0694283937,0.0368812196,0.0457976623,0.005116868,0.0646673143
2023-11-12,ATL,2023,25,0,0.7296610485,0.5,0.4188389364,0.2622525692,0.8040080131,0.892550449,0.8843744397
2023-11-26,ATL,2023,15,1,0.9533066803,1.0,0.9178095238,0.8788811564,0.9688460555,0.9619249248,0.9091185927
2023-12-03,ATL,2023,8,1,0.9780286392,1.0,0.7924154793,0.9597492814,0.9821602034,0.9886491923,0.9171927571
2023-12-10,ATL,2023,29,0,0.1162901292,0.5,0.3840389226,0.1501561254,0.15723337,0.033604389,0.1196963564
2023-12-17,ATL,2023,9,0,0.9802357866,0.0,0.5645911654,0.5211175084,0.875115691,0.8108914354,0.9169952869
2023-12-24,ATL,2023,10,1,0.9949631361,1.0,0.8793670014,0.9967252612,0.9999276387,0.9984477016,0.9520010948
2023-12-31,ATL,2023,37,0,0.0002080972,0.0,0.0162573087,0.0023720993,1.82946e-05,0.000385092,0.0642844066
2023-01-07,ATL,2023,48,0,8.9517e-06,0.0,0.080119525,0.0211382955,8.02804e-05,0.0001178671,0.0643369779
2023-09-10,RAV,2023,9,1,0.9964189704,1.0,0.8994047619,0.9989387393,0.9999704591,0.9993496477,0.9182624817
2023-09-17,RAV,2023,24,1,0.9171153834,1.0,0.8504255264,0.940344274,0.9941589972,0.8900807809,0.9165670872
2023-09-24,RAV,2023,22,0,0.2729400464,0.0,0.3048821329,0.1222060993,0.015979888,0.1121153191,0.1060459167
2023-10-01,RAV,2023,3,1,0.9999987366,1.0,0.8974510955,0.99953866,0.999998445,0.9998873554,0.9520130754
2023-10-08,RAV,2023,17,0,0.2463061698,1.0,0.3648060383,0.2603331208,0.0763523895,0.1786665971,0.092486769
2023-10-15,RAV,2023,16,1,0.8466757769,0.375,0.9232051282,0.5967206955,0.7334854143,0.6497042212,0.9091124535
2023-10-22,RAV,2023,6,1,0.9999999369,1.0,0.9959183673,0.9997131228,0.9999999999,0.9999679318,0.9520130754
2023-10-29,RAV,2023,24,1,0.8477377727,1.0,0.6723607024,0.9216551781,0.9815100067,0.9600086478,0.9040110707
2023-11-05,RAV,2023,3,1,0.999998389,1.0,0.9246280681,0.999466598,0.9999999989,0.9999511863,0.9183090329
2023-11-12,RAV,2023,33,0,0.0328000537,0.0,0.2717125306,0.0383458808,0.108574545,0.0093527712,0.0643487498
2023-11-16,RAV,2023,20,1,0.9993201127,1.0,0.9911971831,0.9952638149,0.9978891544,0.9994681132,0.9516254663
2023-11-26,RAV,2023,10,1,0.9967488096,1.0,0.9901493811,0.997030735,0.9999154663,0.9978999372,0.9182931781
2023-12-10,RAV,2023,31,1,0.0485770301,0.0,0.2146591361,0.1250809133,0.1056451549,0.2236942257,0.1089492962
2023-12-17,RAV,2023,7,1,0.9992265613,1.0,0.8957010582,0.9992240667,0.9999909499,0.9994788501,0.918304801
2023-12-25,RAV,2023,19,1,0.973565524,1.0,0.9773927648,0.9928649664,0.9987528555,0.9974822121,0.9197942019
2023-12-31,RAV,2023,19,1,0.9999982879,1.0,0.9686456401,0.9992387295,0.9999997961,0.999851277,0.9520130754
2023-01-06,RAV,2023,17,0,0.2098135231,0.0,0.2816295567,0.2313139588,0.1787266059,0.3156390986,0.0825769752
2023-01-20,RAV,2023,10,1,0.9999844699,1.0,0.995951417,0.999840498,0.9999999662,0.9999536277,0.9183085561
2023-01-28,RAV,2023,17,0,0.1238618128,0.0,0.417776131,0.1890072674,0.0670700878,0.1640891163,0.1152169406
2023-09-11,BUF,2023,22,0,0.0084471666,1.0,0.319644934,0.0406537317,0.0528873582,0.0357525011,0.0645577759
2023-09-17,BUF,2023,10,1,0.9999851756,1.0,1.0,0.999790132,0.9999999994,0.9999600189,0.9419699907
2023-09-24,BUF,2023,3,1,0.9999871766,1.0,0.9705514706,0.9992337227,0.9999998064,0.9999377915,0.9184164405
2023-10-01,BUF,2023,20,1,0.9999735147,1.0,0.9722577892,0.998849988,0.9999995818,0.999877209,0.9520130754
2023-10-08,BUF,2023,25,0,0.2399376601,0.0,0.2315279165,0.3114225268,0.0494397359,0.0903314421,0.1409453005
2023-10-15,BUF,2023,9,1,0.9916963248,1.0,0.7403541907,0.9650868177,0.9622137104,0.9648697237,0.9182415009
2023-10-22,BUF,2023,29,0,0.2076610812,0.0,0.2261646474,0.0464250036,0.0089804253,0.1293752098,0.1790284216
2023-10-26,BUF,2023,18,1,0.9329295738,1.0,0.9773754703,0.9843555093,0.9951881556,0.9917843634,0.9509961605
2023-11-05,BUF,2023,24,0,0.0588492196,0.0,0.3064492474,0.1802159399,0.0566382632,0.0482464107,0.1139462665
2023-11-13,BUF,2023,24,0,0.29234578,0.4,0.1945859213,0.3194462359,0.2350386209,0.0748167134,0.0716531202
2023-11-19,BUF,2023,6,1,0.9999831336,1.0,0.9697258687,0.9996115565,0.9999999421,0.9999450737,0.9491621852
2023-11-26,BUF,2023,37,0,0.2255935728,0.0,0.4867589926,0.1207401901,0.0402654145,0.1188732221,0.1285007
2023-12-10,BUF,2023,17,1,0.8838459544,1.0,0.6829835039,0.8870914578,0.9169640454,0.9587640675,0.9107105136
2023-12-17,BUF,2023,10,1,0.999998179,1.0,0.9972733563,0.9998440742,0.9999999985,0.9999464846,0.9183082581
2023-12-23,BUF,2023,22,1,0.9779874235,1.0,0.8398878918,0.9612162113,0.9884414878,0.9722796711,0.9509344101
2023-12-31,BUF,2023,21,1,0.7417261034,0.0,0.5023338328,0.525757134,0.6323182651,0.6358238031,0.6850816607
2023-01-07,BUF,2023,14,1,0.9637240261,1.0,0.9408821225,0.9589627385,0.7023902351,0.7772164376,0.9516990781
2023-01-15,BUF,2023,17,1,0.9987441426,1.0,0.9333333333,0.9978970289,0.9993048366,0.9992442113,0.9183070064
2023-01-21,BUF,2023,27,0,0.6940453725,0.0,0.6509877263,0.1958908886,0.2219044737,0.4946836937,0.8927515745
2023-09-10,CAR,2023,24,0,0.027884629,0.5,0.2602532108,0.0348918848,0.0207705078,0.018799401,0.0647923946
2023-09-18,CAR,2023,20,0,0.0257618987,0.0,0.0975,0.0301529132,0.006436888,0.0516893725,0.0655640438
