Season,Team,Date,target,OT,points_scored,points_allowed,pass_yards,pass_touchdowns,interceptions,sacks,pass_yards_per_attempt,pass_completion_ratio,Rate,rush_yards_per_attempt,rush_touchdowns,punts,time_of_possession,extra_points_ratio,field_goal_ratio,third_down_ratio,fourth_down_ratio
2003,CRD,2003-09-07,0,0,24,42,339,3,1,2,7.8,60.9,96.2,4.8,0,4,2046,1.0,1.0,0.6,0.0
2003,CRD,2003-09-14,0,0,0,38,193,0,4,2,4.5,54.3,28.6,3.9,0,4,2011,0.0,0.0,0.5555555555555556,0.0
2003,CRD,2003-09-21,1,0,20,13,273,1,1,0,8.8,64.5,89.9,2.6,1,4,1986,1.0,1.0,0.6153846153846154,0.0
2003,CRD,2003-09-28,0,0,13,37,125,0,0,1,6.4,61.9,78.5,2.6,1,6,1053,1.0,0.0,0.0,1.0
2003,CRD,2003-10-05,0,0,7,24,119,1,2,3,4.3,50.0,43.6,1.8,0,6,1412,1.0,0.0,0.25,0.0
2003,CRD,2003-10-12,0,0,18,26,230,2,3,2,6.9,61.1,63.4,4.5,0,4,1638,1.0,1.0,0.18181818181818182,0.0
2003,CRD,2003-10-26,1,1,16,13,93,0,1,1,3.9,56.0,47.6,5.0,1,4,2276,1.0,0.5,0.4,0.0
2003,CRD,2003-11-02,1,0,17,14,143,2,0,2,5.9,64.3,100.7,4.4,0,6,2092,1.0,0.5,0.5,0.0
2003,CRD,2003-11-09,0,0,15,28,283,2,0,5,7.1,53.5,89.6,3.4,0,7,2024,0.0,1.0,0.1875,0.4
2003,CRD,2003-11-16,0,0,6,44,146,0,3,1,4.8,40.6,15.9,3.2,0,5,1227,0.0,1.0,0.3,0.0
2003,CRD,2003-11-23,0,1,27,30,192,2,2,0,6.9,53.6,69.3,5.5,0,3,1873,1.0,1.0,0.5,0.0
2003,CRD,2003-11-30,0,0,3,28,151,0,2,1,5.1,62.5,47.8,2.6,0,8,1478,0.0,1.0,0.3076923076923077,0.0
2003,CRD,2003-12-07,0,0,14,50,151,2,1,3,4.5,47.5,63.6,2.7,0,6,1677,1.0,0.0,0.21428571428571427,0.6666666666666666
2003,CRD,2003-12-14,0,0,17,20,146,0,1,5,6.9,56.0,56.4,4.4,2,4,2274,1.0,0.5,0.5333333333333333,0.0
2003,CRD,2003-12-21,0,0,10,28,220,1,0,8,6.9,62.5,85.4,3.0,0,6,1994,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
2003,CRD,2003-12-28,1,0,18,17,155,2,1,8,6.8,60.6,79.7,3.4,0,6,1711,0.0,1.0,0.21428571428571427,1.0
2003,ATL,2003-09-07,1,0,27,13,220,2,1,2,8.4,59.3,94.7,3.3,1,5,1980,1.0,1.0,0.36363636363636365,0.0
2003,ATL,2003-09-14,0,0,31,33,184,2,2,3,5.5,44.4,55.8,4.5,2,6,1518,1.0,0.5,0.09090909090909091,0.0
2003,ATL,2003-09-21,0,0,10,31,107,0,4,2,4.1,58.1,25.3,1.5,1,5,1496,1.0,0.5,0.25,1.0
2003,ATL,2003-09-28,0,0,3,23,123,0,1,6,6.6,60.9,57.0,6.3,0,6,1643,0.0,0.5,0.16666666666666666,0.0
2003,ATL,2003-10-05,0,0,26,39,336,2,2,2,8.6,68.3,89.1,6.1,1,5,1592,1.0,1.0,0.3,0.0
2003,ATL,2003-10-13,0,0,0,36,136,0,2,3,5.5,42.9,28.3,3.5,0,6,1360,0.0,0.0,0.3076923076923077,0.0
2003,ATL,2003-10-19,0,0,17,45,108,1,1,1,4.0,31.0,40.6,5.9,1,6,1310,1.0,1.0,0.25,1.0
2003,ATL,2003-11-02,0,0,16,23,147,0,1,3,5.9,57.1,56.7,4.7,1,5,1875,1.0,1.0,0.38461538461538464,0.0
2003,ATL,2003-11-09,1,0,27,7,58,1,0,1,2.8,39.1,61.7,5.8,3,7,1809,0.75,0.0,0.3333333333333333,1.0
2003,ATL,2003-11-16,0,1,20,23,76,0,2,1,3.0,29.6,8.7,6.0,1,8,1462,1.0,0.6666666666666666,0.08333333333333333,0.0
2003,ATL,2003-11-23,0,0,31,38,257,2,1,2,8.6,59.4,92.8,1.3,1,5,1625,1.0,1.0,0.18181818181818182,0.5
2003,ATL,2003-11-30,0,0,13,17,174,0,1,1,4.5,51.3,52.7,2.9,1,5,1771,1.0,0.6666666666666666,0.4666666666666667,0.0
2003,ATL,2003-12-07,1,1,20,14,156,0,1,3,5.3,47.1,48.2,6.1,2,4,1972,1.0,0.0,0.3333333333333333,0.0
2003,ATL,2003-12-14,0,0,7,38,29,0,1,4,2.6,36.0,27.9,4.8,1,7,1592,1.0,0.0,0.09090909090909091,0.5
2003,ATL,2003-12-20,1,0,30,28,119,2,0,0,7.9,53.3,119.2,3.5,0,3,1785,1.0,1.0,0.38461538461538464,1.0
2003,ATL,2003-12-28,1,0,21,14,178,2,1,1,8.2,54.5,92.6,4.3,1,4,1882,1.0,0.0,0.6428571428571429,0.0
2003,RAV,2003-09-07,0,0,15,34,143,1,1,2,3.5,51.2,56.6,3.8,1,6,1640,1.0,0.0,0.3125,0.5
2003,RAV,2003-09-14,1,0,33,13,50,0,1,4,4.3,38.9,23.8,8.4,2,4,1844,1.0,0.8,0.26666666666666666,1.0
2003,RAV,2003-09-21,1,0,24,10,97,1,1,1,4.7,57.1,65.0,4.8,1,6,1488,1.0,1.0,0.3333333333333333,0.0
2003,RAV,2003-09-28,0,0,10,17,124,0,3,3,5.4,57.7,30.4,5.6,1,5,1875,1.0,1.0,0.4166666666666667,0.0
2003,RAV,2003-10-12,1,0,26,18,72,0,0,1,4.2,50.0,60.4,5.6,0,4,1962,1.0,1.0,0.38461538461538464,0.0
2003,RAV,2003-10-19,0,0,26,34,281,2,1,3,11.2,55.6,101.0,4.1,1,5,1744,1.0,1.0,0.18181818181818182,1.0
2003,RAV,2003-10-26,1,0,26,6,126,1,0,2,5.1,55.6,80.2,4.1,1,5,1890,1.0,0.8,0.35294117647058826,0.0
2003,RAV,2003-11-02,1,0,24,17,156,1,1,0,6.8,43.5,63.0,3.4,1,5,1507,1.0,1.0,0.4,0.0
