Season,Team,Date,target,OT,points_scored,points_allowed,pass_yards,pass_touchdowns,interceptions,sacks,pass_yards_per_attempt,pass_completion_ratio,Rate,rush_yards_per_attempt,rush_touchdowns,punts,time_of_possession,extra_points_ratio,field_goal_ratio,third_down_ratio,fourth_down_ratio
2023,CRD,2023-09-10,0,0,16,20,114,0,0,3,4.4,70.0,76.2,3.8,0,5,1716,1.0,1.0,0.2857142857142857,0.0
2023,CRD,2023-09-17,0,0,28,31,228,1,0,0,7.4,67.7,99.9,5.2,2,3,1837,1.0,0.6666666666666666,0.4,0.0
2023,CRD,2023-09-24,1,0,28,16,178,1,0,2,9.0,81.0,117.9,7.4,2,2,1527,1.0,1.0,0.5,0.0
2023,CRD,2023-10-01,0,0,16,35,257,2,0,1,6.5,68.3,101.4,4.2,0,3,1846,1.0,1.0,0.5333333333333333,0.6666666666666666
2023,CRD,2023-10-08,0,0,20,34,152,2,2,3,5.2,46.9,55.7,6.5,1,4,1310,0.6666666666666666,0.0,0.36363636363636365,0.0
2023,CRD,2023-10-15,0,0,9,26,215,0,1,2,5.7,51.2,56.5,4.3,0,3,1830,0.0,1.0,0.375,0.5
2023,CRD,2023-10-22,0,0,10,20,122,0,0,4,4.4,58.8,66.1,5.1,1,5,1768,1.0,0.5,0.3333333333333333,0.0
2023,CRD,2023-10-29,0,0,24,31,181,2,2,2,5.6,67.6,74.3,4.0,1,4,1821,1.0,1.0,0.4166666666666667,0.0
2023,CRD,2023-11-05,0,0,0,27,17,0,2,7,2.9,55.0,20.8,2.0,0,9,1415,0.0,0.0,0.08333333333333333,0.0
2023,CRD,2023-11-12,1,0,25,23,230,0,1,2,7.8,59.4,68.5,4.7,2,3,1698,1.0,1.0,0.2727272727272727,1.0
2023,CRD,2023-11-19,0,0,16,21,196,1,1,3,7.1,66.7,82.1,4.9,1,2,1725,1.0,1.0,0.3,0.25
2023,CRD,2023-11-26,0,0,14,37,219,1,0,4,5.7,60.0,79.8,4.9,1,5,1508,0.0,0.0,0.35294117647058826,0.6666666666666666
2023,CRD,2023-12-03,1,0,24,10,132,1,0,2,6.3,56.5,87.6,3.9,2,5,1757,1.0,1.0,0.5882352941176471,0.0
2023,CRD,2023-12-17,0,0,29,45,202,1,2,3,5.4,66.7,66.4,7.8,2,2,2051,1.0,1.0,0.4375,0.75
2023,CRD,2023-12-24,0,0,16,27,213,2,0,2,6.1,63.2,95.6,4.7,0,6,1528,1.0,1.0,0.4375,0.0
2023,CRD,2023-12-31,1,0,35,31,228,3,1,1,7.5,80.6,116.1,5.5,1,0,2379,1.0,1.0,0.5,1.0
2023,CRD,2023-01-07,0,0,20,21,260,1,0,1,8.7,73.3,110.4,5.4,1,3,2163,1.0,0.5,0.38461538461538464,1.0
2023,ATL,2023-09-10,1,0,24,10,91,1,0,4,6.4,83.3,106.2,5.0,2,7,1519,1.0,1.0,0.2,0.0
2023,ATL,2023-09-17,1,0,25,24,235,1,1,1,7.4,59.4,79.6,4.7,1,1,2175,0.5,1.0,0.4,0.75
